"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
29153242|PASTO                    |1|53.52|3.3128571428571423|156.0|57.840|58.890|39.640|50.090|0.000|54.290|50.870|0.000|36.710|56.290|||||0.0|0.0|0.0|1|2|2|0|35000|2007|4500000|0.0|2.0|2.0|0.0|18.0|27.0|2018.0|
29153245|PASTO                    |0|53.19|3.557142857142856|164.0|50.790|51.210|51.740|54.200|48.230|53.490|58.980|48.470|54.640|0.000|||||0.0|0.0|0.0|1|3|3|0|90000|2002|6500000|2008.0|1.0|0.0|0.0|23.0|31.0|2018.0|
29160229|PASTO                    |0|63.87|3.1847058823529415|136.0|52.410|85.530|42.110|60.810|0.000|59.090|55.400|0.000|51.230|53.800|||||99500.0|19900.0|0.0|0|0|1|0|10000|2007|5000000|2008.0|1.0|2.0|0.0|16.0|25.0|2018.0|
99153250|PASTO                    |1|60.85|3.1763440860215058|142.0|60.000|58.000|59.000|63.000|62.000||||||||||0.0|0.0|0.0|0|||0|0||0|||0.0|0.0|17.0|37.0|2018.0|
215033086|PASTO                    |0|77.15|2.5636363636363635|57.0|61.000|90.000|11.000|94.000|0.000|77.000|68.000|0.000|40.000|58.000|0.000|0.000|0.000|0.000|1|0|0|0|1|1|0|50000|2011|1300000|2013.0|2.0|4.0|1.0|22.0|26.0|2018.0|
215033309|PASTO                    |0|79.7|3.0566666666666666|56.0|81.000|96.000|50.000|83.000|0.000|89.000|55.000|0.000|54.000|68.000|0.000|0.000|0.000|0.000|1|0|0|0|1|1|0|36000|2011|2400000|2013.0|1.0|2.0|0.0|20.0|23.0|2018.0|
215033881|PASTO                    |0|61.75|3.880952380952381|130.0||||||||||||||||||0|8|2|1|0|2011|30228000|2013.0|2.0|1.0|0.0|20.0|23.0|2018.0|
215034410|PASTO                    |0|68.22|2.7703703703703706|47.0|0.000|70.000|0.000|0.000|0.000|0.000|0.000|0.000|55.000|67.000|72.000|65.000|74.000|68.000|1|0|0|1|2|2|0|200000|2014|10000000|2018.0|2.0|1.0|0.0|16.0|19.0|2018.0|
215036010|IPIALES                  |0|50.52|3.0243243243243247|64.0|50.070|49.840|53.920|42.750|0.000|52.160|56.790|0.000|44.740|58.300|0.000|0.000|0.000|0.000|0|0|0|1|1|1|0|56000|2006|8400000|2013.0|1.0|2.0|0.0|24.0|28.0|2018.0|
215155033|TUQUERRES                |0|46.55|2.3310344827586214|40.0|41.000|46.000|40.000|43.000|0.000|50.000|53.000|0.000|53.000|48.000|0.000|0.000|0.000|0.000|0|0|0|0|1|1|0|0|2007|6000000|2013.0|1.0|1.0|0.0|18.0|22.0|2018.0|
216033552|PASTO                    |0|75.68|2.8176470588235296|20.0|0.000|79.000|0.000|0.000|0.000|0.000|0.000|0.000|58.000|59.000|71.000|82.000|86.000|58.000|0|0|0|1|1|2|0|0|2014|6000000|2014.0|2.0|4.0|0.0|21.0|24.0|2018.0|
216034102|PASTO                    |0|66.44|2.491304347826087|40.0|0.000|70.000|0.000|0.000|0.000|0.000|0.000|0.000|52.000|66.000|59.000|75.000|70.000|63.000|0|0|0|0|2|3|0|0|0|11000000|2014.0|1.0|1.0|0.0|20.0|22.0|2018.0|
216034285|PASTO                    |0|65.67|2.963414634146341|71.0|0.000|70.000|0.000|0.000|0.000|0.000|0.000|0.000|49.000|55.000|55.000|78.000|73.000|46.000|0|0|0|1|2|2|0|41900|2010|7200000|2013.0|1.0|2.0|0.0|22.0|25.0|2018.0|
216036094|IPIALES                  |0|62.24|2.5749999999999997|50.0|0.000|68.000|0.000|0.000|0.000|0.000|0.000|0.000|54.000|57.000|60.000|60.000|69.000|59.000|0|0|0|1|2|2|0|0|0|7800000|2014.0|2.0|2.0|0.0|18.0|20.0|2018.0|
216151065|TUMACO                   |0|45.4|2.6058823529411765|49.0|37.000|40.000|45.000|49.000|51.000|44.000|48.000|54.000|48.000|0.000|0.000|0.000|0.000|0.000|0|0|0|1|1|1|1|50000|2003|1000000|2015.0|1.0|3.0|1.0|32.0|35.0|2018.0|
216151079|TUMACO                   |0|39.67|2.8888888888888884|49.0|43.820|36.480|19.690|38.000|0.000|40.900|46.160|0.000|41.640|48.120|0.000|0.000|0.000|0.000|0|0|0|1|1|1|0|95000|2010|7200000|2015.0|1.0|5.0|2.0|24.0|27.0|2018.0|
